name,host_id,host_name,host_since,property_type,price,price_range,room_type,number_of_reviews,smart_location,zipcode,host_identity_verified,host_is_superhost,neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,is_location_exact,accommodates,bathrooms,bedrooms,beds,weekly_price,monthly_price,security_deposit,guests_included,minimum_nights,maximum_nights,availability_365,first_review,last_review,Seasons,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,city,state,bed_type,cleaning_fee,extra_people,calendar_last_scraped
Historic DC Condo-Walk to Capitol!,15830506,Lize & Greg,5/21/14,8,160,3,1,0,14,20003,0,1,17,26,26,1,0,4,1,1,2,1125,5225,100,1,1,1125,283,0,0,0,0,0,0,1,1,0,0,18,0,Washington,DC,Real Bed,115,0,10/2/15
Spacious Capitol Hill Townhouse,5338703,Sebastian,3/5/13,8,350,4,1,65,14,20003,1,1,17,1,1,1,0,6,3,3,3,0,0,0,1,2,30,343,3/22/13,9/28/15,4,94,10,9,1,3,0,0,1,2.11,Washington,DC,Real Bed,100,0,10/2/15
Spacious/private room for single,1487418,Craig,12/9/11,8,50,1,2,1,10,20782,0,1,23,2,2,1,0,1,2,1,1,300,700,0,1,2,1125,60,9/10/15,9/10/15,4,0,0,0,1,1,0,0,1,1,Hyattsville,MD,Real Bed,0,0,10/2/15
Downtown Silver Spring,30369828,Joshua,3/31/15,11,50,1,1,0,2,20910,0,1,86,1,1,1,0,4,1,1,1,400,1500,450,2,7,1125,351,0,0,0,0,0,0,1,1,0,0,1,0,Silver Spring,MD,Real Bed,15,15,10/3/15
"Cozy DC Condo, Close to Metro!",4628,Michelle,11/25/08,6,100,2,1,0,14,20012,0,1,91,1,1,1,0,4,2,2,2,550,0,150,2,3,1125,21,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,50,40,10/2/15
Warm and Cozy 1 Bedroom Apt,3671500,Shahrzad,9/25/12,1,100,2,1,0,12,20712,1,1,69,1,1,1,0,2,1,1,1,0,0,0,1,1,1125,365,0,0,0,0,0,0,1,1,0,0,1,0,Mount Rainier,MD,Real Bed,0,0,10/2/15
Private room for rent,5159038,Qianwen,2/20/13,8,38,1,2,1,5,20743,1,1,16,8,8,1,0,2,1.5,1,1,250,800,0,1,2,180,360,9/15/15,9/15/15,4,100,10,10,0,2,0,0,1,1,Capitol Heights,MD,Real Bed,0,10,10/3/15
Great Penthouse View! Metro in 7min,21704152,Matt,9/23/14,1,55,2,1,1,1,20910,0,1,86,1,1,1,0,1,1,1,1,299,999,100,1,3,1125,0,9/28/15,9/28/15,4,100,10,6,1,3,0,0,1,1,Silver Spring,MD,Real Bed,0,0,10/2/15
Sunny & Conveniently Located!,44519208,Angeli,9/18/15,6,50,1,2,0,1,20910,1,1,86,1,1,1,0,2,1,1,1,0,0,150,1,2,14,365,0,0,0,0,0,0,1,1,0,0,1,0,Silver Spring,MD,Real Bed,20,10,10/3/15
Beautiful Private High-Rise Apt,3736766,Anne,10/2/12,1,99,2,1,0,1,20910,1,1,86,7,7,1,0,2,1,0,1,0,0,0,1,7,1125,339,0,0,0,0,0,0,1,3,0,0,1,0,Silver Spring,MD,Real Bed,125,0,10/2/15
Cozy private second floor,44659281,Aaron,9/20/15,8,52,2,2,1,11,20712,0,1,69,1,1,1,0,2,1,1,1,0,0,0,2,1,1125,359,9/27/15,9/27/15,4,80,10,8,1,1,0,0,1,1,Mount Rainier,MD,Real Bed,0,15,10/2/15
Cheap room near Fort Totten Metro,11798122,Michael,1/30/14,6,23,1,2,1,10,20782,1,1,23,1,1,1,0,1,1,1,1,0,0,0,1,1,1125,333,10/1/15,10/1/15,4,100,10,10,0,1,0,0,1,1,Hyattsville,MD,Real Bed,5,10,10/2/15
"Near Washington,DC",34290236,Ayesha,5/26/15,1,200,3,3,0,1,20910,1,1,86,1,1,1,0,2,1,1,2,0,0,100,1,1,1125,363,0,0,0,0,0,0,1,1,0,0,1,0,Silver Spring,MD,Real Bed,0,0,10/2/15
All the comfort you need.,44546458,Afam,9/19/15,1,100,2,1,0,11,20712,1,1,69,1,1,1,0,2,1,1,1,550,0,0,1,1,1125,365,0,0,0,0,0,0,1,2,0,0,1,0,Mount Rainier,MD,Real Bed,0,0,10/2/15
Sunny Cape Cod minutes from DC,2245859,Narae,4/28/12,8,129,2,1,0,13,20912,1,1,92,1,1,1,0,7,3,4,3,799,2700,99,1,14,1125,120,0,0,0,0,0,0,1,1,0,0,1,0,Takoma Park,MD,Real Bed,99,0,10/2/15
CHIC DC URBAN RETREAT,966914,Annie,8/14/11,1,149,2,1,46,14,20008,0,0,101,1,1,1,0,1,1,1,1,999,2499,0,1,3,31,18,3/11/12,10/1/15,4,100,10,10,1,3,0,0,1,1.06,Washington,DC,Real Bed,0,99,10/3/15
Perfect studio in VERY central DC,2070536,Joel,4/4/12,1,150,2,1,84,14,20005,0,0,61,2,2,1,0,4,1,1,2,1100,3700,100,2,2,365,351,5/20/13,9/30/15,4,99,10,10,1,2,1,1,2,2.91,Washington,DC,Real Bed,30,20,10/2/15
"Logan Circle Loft 1bedroom, 1.5bath",12725500,Mayrose,3/2/14,1,175,3,1,25,14,20005,1,1,61,1,1,1,0,4,1.5,1,1,1000,3100,0,2,1,1125,361,4/7/14,8/1/15,3,91,10,8,1,1,0,0,1,1.38,Washington,DC,Real Bed,25,25,10/2/15
Updated 2BD Rowhome Steps to Metro,9540128,Matt,10/20/13,8,239,3,1,4,14,20001,0,1,83,1,1,1,0,3,1,2,2,0,3500,0,1,5,1125,345,12/16/13,8/8/14,3,100,9,10,1,3,0,0,1,0.18,Washington,DC,Real Bed,50,0,10/3/15
Cozy Apt in the Heart of Hipsterdom,22207701,Trevor,10/6/14,1,65,2,2,2,14,20001,0,1,68,1,1,1,0,4,1,1,2,425,1500,0,2,2,1125,63,8/13/15,8/28/15,3,100,10,10,1,1,0,0,1,1.15,Washington,DC,Real Bed,0,0,10/3/15
Beautiful room in amazing location!,12772446,Helen,3/3/14,1,71,2,2,83,14,20001,0,1,83,1,1,1,0,2,1,1,1,500,0,0,2,2,14,319,6/30/14,9/25/15,4,97,10,9,1,2,0,0,1,5.4,Washington,DC,Real Bed,12,25,10/2/15
Clean Studio - Next to Conv Center!,4240274,Charlie,11/25/12,1,80,2,1,19,14,20001,0,1,83,3,3,1,0,2,1,1,1,0,0,0,1,1,1125,123,7/19/15,9/27/15,4,89,9,9,0,2,0,0,3,7.4,Washington,DC,Real Bed,0,0,10/2/15
Rowhouse,2798,Ayeh,9/7/08,8,250,3,2,94,14,20001,0,1,83,3,3,1,0,4,2.5,1,3,0,0,0,2,1,730,340,1/21/09,6/12/15,3,95,9,9,1,3,0,0,3,1.15,Washington,DC,Real Bed,0,125,10/2/15
Upscale Master Close to Everything,481929,Chris,4/3/11,8,138,2,2,47,14,20001,0,1,83,5,5,1,0,2,1,1,1,1000,2494,250,1,1,365,365,4/19/11,9/17/15,4,92,9,8,1,2,1,1,4,0.87,Washington,DC,Real Bed,50,20,10/2/15
Sunny Bedroom with En Suite Bath,343320,Helen & Journey,1/11/11,8,94,2,2,150,14,20001,1,0,83,1,1,1,0,2,1,1,1,0,0,0,1,2,21,308,3/12/11,9/29/15,4,98,10,10,1,2,1,1,1,2.7,Washington,DC,Real Bed,0,25,10/2/15
2BR/2.5BTH PH Loft featured on HGTV,1640384,Christopher,1/23/12,9,283,4,1,15,14,20001,0,0,83,2,2,1,0,5,2.5,2,2,1650,4400,500,4,3,1125,297,8/5/14,7/20/15,3,100,10,10,1,2,0,0,1,1.06,Washington,DC,Real Bed,120,50,10/3/15
Sunny 1-Bed Apt White House / Logan,25534764,Joseph,1/3/15,1,127,2,1,0,14,20005,1,1,31,1,1,1,0,3,1,1,3,700,0,0,1,3,16,0,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,0,0,10/2/15
CONVENTION CENTER METRO STATION #2,871824,Tony,7/26/11,11,79,2,2,69,14,20001,1,1,83,2,2,1,0,6,1,1,3,0,2000,0,1,1,365,349,5/29/12,9/16/15,4,91,9,10,1,3,0,0,2,1.69,Washington,DC,Real Bed,0,26,10/2/15
Charming Garden Level Apartment,32791385,Elgeo,5/6/15,1,110,2,1,1,14,20001,0,1,83,1,1,1,0,3,1,1,1,600,0,0,1,1,1125,62,8/3/15,8/3/15,3,100,10,10,1,1,0,0,1,0.48,Washington,DC,Real Bed,0,0,10/3/15
"Dupont Circle, 14th ST Unbeatable!",8008783,Cliff,8/7/13,8,480,5,1,5,14,20009,0,1,61,30,30,1,0,9,2.5,3,5,3000,10500,0,6,3,1125,325,5/5/15,9/29/15,4,95,10,10,1,3,0,0,27,0.99,Washington,DC,Real Bed,200,5,10/3/15
2bd/2ba A+ Logan Circle Penthouse,5750063,Alex,4/3/13,1,372,5,1,33,14,20005,0,1,61,1,1,1,0,6,2,2,3,2275,6500,0,4,3,1125,326,10/5/13,9/18/15,4,96,10,9,1,2,0,0,1,1.36,Washington,DC,Real Bed,80,40,10/3/15
One Bedroom Apt. in heart of Shaw,25197983,Nya,12/25/14,1,125,2,1,11,14,20001,0,1,83,1,1,1,0,3,1,1,2,700,2625,0,2,1,30,57,7/3/15,9/24/15,4,93,9,9,0,1,0,0,1,3.55,Washington,DC,Real Bed,60,0,10/3/15
Modern apartment in the heart of DC,22586098,Luisa,10/15/14,1,80,2,3,5,14,20001,0,1,83,2,2,1,0,1,1,1,1,518,0,0,1,1,1125,360,5/8/15,7/5/15,3,96,9,9,1,2,0,0,2,1.01,Washington,DC,Airbed,0,0,10/3/15
"Convention Center, Sleeps 5 ",8008783,Cliff,8/7/13,1,90,2,1,29,14,20001,0,1,31,30,30,1,0,5,1,0,3,0,0,0,1,3,999,313,9/19/13,9/16/15,4,91,10,9,1,3,0,0,27,1.17,Washington,DC,Real Bed,100,0,10/3/15
M St Apt C,6059772,Jon,4/23/13,1,110,2,1,32,14,20001,0,1,68,4,4,1,0,3,1,0,2,700,2700,0,0,2,1125,345,2/25/15,9/21/15,4,84,9,8,1,1,1,1,4,4.34,Washington,DC,Real Bed,35,0,10/3/15
Logan Circle Bright & Beautiful Apt,20655478,Elizabeth,8/28/14,1,100,2,1,1,14,20001,0,1,61,1,1,1,0,3,1,2,3,595,0,0,1,3,1125,0,9/25/15,9/25/15,4,100,10,10,1,3,0,0,1,1,Washington,DC,Real Bed,40,20,10/3/15
Gorgeous + Location 2BR/2BA,14039163,Patrick,4/8/14,1,250,3,1,15,14,20009,0,1,61,1,1,1,0,4,2,2,2,1000,0,250,4,1,100,41,3/23/15,9/21/15,4,97,10,9,1,3,0,0,1,2.31,Washington,DC,Real Bed,75,25,10/3/15
Large Room in Renovated House,2755315,Chito,6/26/12,8,55,2,2,0,14,20032,0,1,89,5,5,1,0,1,1,1,1,195,595,150,1,1,1125,364,0,0,0,0,0,0,1,3,0,0,5,0,Washington,DC,Real Bed,75,25,10/3/15
Inauguration 2013 | $400/nt | SW DC,4275311,Danielle,11/28/12,1,400,5,1,0,14,20032,0,1,6,1,1,1,0,2,1,1,1,0,0,200,1,2,4,365,0,0,0,0,0,0,1,2,0,0,1,0,Washington,DC,Airbed,0,0,10/2/15
Comfy Futon in Private Room,2755315,Chito,6/26/12,8,35,1,2,0,14,20032,0,1,89,5,5,1,0,1,1,1,1,165,595,0,1,1,1125,360,0,0,0,0,0,0,1,3,0,0,5,0,Washington,DC,Futon,25,0,10/2/15
DC house with feel of the suburbs,1299708,Wade,10/16/11,8,160,3,1,5,14,20032,0,1,6,1,1,1,0,4,2,2,2,0,0,200,1,2,8,0,3/17/15,6/19/15,3,96,10,9,1,2,0,0,1,0.75,Washington,DC,Real Bed,30,0,10/3/15
Clean convenient 2 BR with parking!,37984671,Nardyne,7/9/15,11,130,2,1,1,14,20032,0,1,6,2,2,1,0,4,2.5,2,2,800,2800,300,1,2,1125,346,7/30/15,7/30/15,3,100,10,10,1,3,0,0,2,0.45,Washington,DC,Real Bed,60,10,10/3/15
Quiet Single Room - Smoke Free Home,12745759,Donnice,3/3/14,11,50,1,2,0,14,20032,0,1,97,1,1,1,0,1,1,1,1,225,700,0,1,1,1125,194,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,0,0,10/3/15
Freshness - Affordable DC Living,30275290,Darryl,3/30/15,8,150,2,2,0,14,20032,0,1,27,1,1,1,0,2,1,1,1,600,1500,0,1,1,1125,365,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,0,0,10/3/15
Garden Paradise in Southeast DC,10855700,Nathan,12/27/13,8,40,1,2,9,14,20032,1,1,85,1,1,1,0,2,1.5,1,1,230,0,0,1,1,1125,267,5/13/14,9/17/15,4,84,8,8,1,1,0,0,1,0.53,Washington,DC,Real Bed,0,0,10/3/15
Private Room in Spacious Basement,2755315,Chito,6/26/12,8,45,1,2,0,14,20032,0,1,89,5,5,1,0,2,1,1,1,195,495,0,1,1,1125,354,0,0,0,0,0,0,1,1,0,0,5,0,Washington,DC,Real Bed,0,0,10/3/15
Clean convenient BR with parking!,37984671,Nardyne,7/9/15,11,55,2,2,0,14,20032,0,1,6,2,2,1,0,2,2.5,1,1,256,903,300,1,2,1125,345,0,0,0,0,0,0,1,3,0,0,2,0,Washington,DC,Real Bed,25,10,10/3/15
Cozy Southeast Getaway,24266762,Saud,11/28/14,1,200,3,1,1,14,20032,1,1,97,1,1,1,0,2,1,1,1,0,0,0,1,1,1125,365,1/1/15,1/1/15,1,100,10,10,1,1,0,0,1,0.11,Washington,DC,Real Bed,0,0,10/2/15
Private BR Shared Bath Sunny TH,3517743,Kanita,9/9/12,8,65,2,2,4,14,20020,0,1,30,2,2,1,0,2,1,1,1,350,900,0,1,1,1125,296,4/19/15,8/18/15,3,100,10,10,1,1,1,1,2,0.71,Washington,DC,Real Bed,0,15,10/2/15
Private BR Shared Bath Sunny TH,3517743,Kanita,9/9/12,8,65,2,2,2,14,20020,0,1,30,2,2,1,0,1,1,1,1,350,900,0,1,1,1125,336,3/23/15,8/11/15,3,90,8,9,1,1,1,1,2,0.31,Washington,DC,Real Bed,0,15,10/2/15
Close to Navy Yard and Capitol Hill,35672131,Lee,6/12/15,11,59,2,2,18,14,20020,0,1,30,1,1,1,0,2,1,1,1,375,1239,0,1,1,1125,353,8/7/15,9/22/15,4,98,10,10,1,3,0,0,1,9.31,Washington,DC,Real Bed,0,25,10/3/15
"Room close to Bus, Metro & Shopping",31818247,Nell ( & Noel),4/23/15,8,69,2,2,8,14,20020,1,1,47,2,2,1,0,3,1,1,1,0,0,0,2,1,1125,353,7/7/15,8/2/15,3,98,10,10,0,3,0,0,2,2.7,Washington,DC,Real Bed,10,0,10/3/15
English Basement & Bath,2755315,Chito,6/26/12,8,49,1,2,1,14,20020,0,1,100,5,5,1,0,1,1,1,1,185,575,0,1,1,1125,356,9/24/15,9/24/15,4,100,10,10,1,3,0,0,5,1,Washington,DC,Real Bed,35,0,10/2/15
Great Condo! Private Bedroom & Bath,43128240,Brandon,9/1/15,1,60,2,2,0,14,20020,1,1,100,1,1,1,0,2,1,1,1,350,1200,100,2,1,365,364,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,0,0,10/3/15
Affordable & private near to Subway,31818247,Nell ( & Noel),4/23/15,8,69,2,2,19,14,20020,1,1,47,2,2,1,0,2,1,1,1,0,0,0,1,1,1125,348,8/5/15,9/29/15,4,98,9,10,0,3,0,0,2,9.5,Washington,DC,Real Bed,10,0,10/3/15
"Steps to Metro, food & DC fun!",27799880,Jennifer,2/15/15,1,157,3,1,3,14,20003,1,1,71,1,1,1,0,4,1,1,2,934,3297,0,2,2,1125,324,8/13/15,9/5/15,4,100,10,10,1,2,0,0,1,1.73,Washington,DC,Real Bed,65,10,10/3/15
