property_type,price_range,room_type,number_of_reviews,smart_location,zipcode,host_identity_verified,host_is_superhost,neighbourhood
8,3,1,0,14,20003,0,1,17
8,4,1,65,14,20003,1,1,17
8,1,2,1,10,20782,0,1,23
11,1,1,0,2,20910,0,1,86
6,2,1,0,14,20012,0,1,91
1,2,1,0,12,20712,1,1,69
8,1,2,1,5,20743,1,1,16
1,2,1,1,1,20910,0,1,86
6,1,2,0,1,20910,1,1,86
1,2,1,0,1,20910,1,1,86
8,2,2,1,11,20712,0,1,69
6,1,2,1,10,20782,1,1,23
1,3,3,0,1,20910,1,1,86
1,2,1,0,11,20712,1,1,69
8,2,1,0,13,20912,1,1,92
1,2,1,46,14,20008,0,0,101
1,2,1,84,14,20005,0,0,61
1,3,1,25,14,20005,1,1,61
8,3,1,4,14,20001,0,1,83
1,2,2,2,14,20001,0,1,68
1,2,2,83,14,20001,0,1,83
1,2,1,19,14,20001,0,1,83
8,3,2,94,14,20001,0,1,83
8,2,2,47,14,20001,0,1,83
8,2,2,150,14,20001,1,0,83
9,4,1,15,14,20001,0,0,83
1,2,1,0,14,20005,1,1,31
11,2,2,69,14,20001,1,1,83
1,2,1,1,14,20001,0,1,83
8,5,1,5,14,20009,0,1,61
1,5,1,33,14,20005,0,1,61
1,2,1,11,14,20001,0,1,83
1,2,3,5,14,20001,0,1,83
1,2,1,29,14,20001,0,1,31
1,2,1,32,14,20001,0,1,68
1,2,1,1,14,20001,0,1,61
1,3,1,15,14,20009,0,1,61
8,2,2,0,14,20032,0,1,89
1,5,1,0,14,20032,0,1,6
8,1,2,0,14,20032,0,1,89
8,3,1,5,14,20032,0,1,6
11,2,1,1,14,20032,0,1,6
11,1,2,0,14,20032,0,1,97
8,2,2,0,14,20032,0,1,27
8,1,2,9,14,20032,1,1,85
8,1,2,0,14,20032,0,1,89
11,2,2,0,14,20032,0,1,6
1,3,1,1,14,20032,1,1,97
8,2,2,4,14,20020,0,1,30
8,2,2,2,14,20020,0,1,30
11,2,2,18,14,20020,0,1,30
8,2,2,8,14,20020,1,1,47
8,1,2,1,14,20020,0,1,100
1,2,2,0,14,20020,1,1,100
8,2,2,19,14,20020,1,1,47
1,3,1,3,14,20003,1,1,71
1,2,1,6,14,20003,0,1,71
8,2,2,6,14,20003,0,1,71
1,2,1,6,14,20003,0,1,71
1,2,1,0,14,20003,1,1,71
1,3,1,1,14,20003,1,1,71
1,3,1,59,14,20003,0,1,17
1,2,2,1,14,20003,0,1,71
1,2,1,0,14,20003,1,1,71
1,3,1,0,14,20003,0,1,71
1,2,1,1,14,20003,1,1,71
1,2,2,2,14,20003,0,1,71
1,2,1,0,14,20003,0,1,71
8,2,2,145,14,20003,0,1,17
1,5,1,0,14,20003,0,1,71
1,2,2,8,14,20003,0,0,71
8,3,1,29,14,20019,0,1,7
8,2,2,0,14,20019,1,1,42
8,1,2,23,14,20019,1,1,7
8,2,1,0,14,20019,1,1,41
8,2,2,4,14,20019,1,1,82
8,2,1,58,14,20019,0,1,42
8,1,2,4,14,20019,1,1,82
1,4,1,34,14,20005,0,1,31
1,4,1,8,14,20005,0,1,31
1,3,1,48,14,20001,0,0,68
