name,host_id,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,city,state,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,price_range,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,Seasons,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
Historic DC Condo-Walk to Capitol!,15830506,Lize & Greg,5/21/14,f,26,26,t,t,Capitol Hill,Washington,DC,20003,"Washington, DC",t,House,Entire home/apt,4,1,1,2,Real Bed,160,3,1125,5225,100,$115.00 ,1,$0.00 ,1,1125,283,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,18,
Spacious Capitol Hill Townhouse,5338703,Sebastian,3/5/13,f,1,1,t,f,Capitol Hill,Washington,DC,20003,"Washington, DC",t,House,Entire home/apt,6,3,3,3,Real Bed,350,4,,,,$100.00 ,1,$0.00 ,2,30,343,10/2/15,65,3/22/13,9/28/15,4,94,10,9,f,f,strict,f,f,1,2.11
Spacious/private room for single,1487418,Craig,12/9/11,f,2,2,t,t,"Chillum, MD",Hyattsville,MD,20782,"Hyattsville, MD",t,House,Private room,1,2,1,1,Real Bed,50,1,300,700,,,1,$0.00 ,2,1125,60,10/2/15,1,9/10/15,9/10/15,4,,,,f,f,flexible,f,f,1,1
A wonderful bedroom with library,16970249,Christopher,6/18/14,f,1,1,t,f,,Washington,DC,20024,"Washington, DC",f,House,Private room,2,1,1,1,Real Bed,95,2,,2650,,,1,$0.00 ,1,1125,365,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Downtown Silver Spring,30369828,Joshua,3/31/15,f,1,1,t,t,"Silver Spring, MD",Silver Spring,MD,20910,"Silver Spring, MD",t,Townhouse,Entire home/apt,4,1,1,1,Real Bed,50,1,400,1500,450,$15.00 ,2,$15.00 ,7,1125,351,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Exclusive Catamaran Houseboat,951119,Todd,8/10/11,f,1,1,t,t,,Washington,DC,20024,"Washington, DC",f,Boat,Entire home/apt,4,1,2,4,Real Bed,99,2,,,,,2,$25.00 ,1,1125,361,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
"Cozy DC Condo, Close to Metro!",4628,Michelle,11/25/08,f,1,1,t,t,Takoma,Washington,DC,20012,"Washington, DC",t,Condominium,Entire home/apt,4,2,2,2,Real Bed,100,2,550,,150,$50.00 ,2,$40.00 ,3,1125,21,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Warm and Cozy 1 Bedroom Apt,3671500,Shahrzad,9/25/12,f,1,1,t,f,"Mt Rainier/Brentwood, MD",Mount Rainier,MD,20712,"Mount Rainier, MD",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,2,,,,,1,$0.00 ,1,1125,365,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Private room for rent,5159038,Qianwen,2/20/13,f,8,8,t,f,"Capitol Heights, MD",Capitol Heights,MD,20743,"Capitol Heights, MD",t,House,Private room,2,1.5,1,1,Real Bed,38,1,250,800,,,1,$10.00 ,2,180,360,10/3/15,1,9/15/15,9/15/15,4,100,10,10,f,t,moderate,f,f,1,1
"Takoma Comfort, DC Convenience",9188872,Danielle,10/2/13,f,1,1,t,f,,Takoma Park,MD,20912,"Takoma Park, MD",t,House,Entire home/apt,4,1.5,2,2,Real Bed,97,2,580,2100,250,$50.00 ,4,$25.00 ,4,1125,3,10/2/15,5,12/2/13,8/3/14,3,88,9,9,f,f,moderate,f,f,1,0.22
Great Penthouse View! Metro in 7min,21704152,Matt,9/23/14,f,1,1,t,t,"Silver Spring, MD",Silver Spring,MD,20910,"Silver Spring, MD",t,Apartment,Entire home/apt,1,1,1,1,Real Bed,55,2,299,999,100,,1,$0.00 ,3,1125,0,10/2/15,1,9/28/15,9/28/15,4,100,10,6,f,f,strict,f,f,1,1
Sunny & Conveniently Located!,44519208,Angeli,9/18/15,f,1,1,t,f,"Silver Spring, MD",Silver Spring,MD,20910,"Silver Spring, MD",t,Condominium,Private room,2,1,1,1,Real Bed,50,1,,,150,$20.00 ,1,$10.00 ,2,14,365,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Beautiful Private High-Rise Apt,3736766,Anne,10/2/12,f,7,7,t,f,"Silver Spring, MD",Silver Spring,MD,20910,"Silver Spring, MD",t,Apartment,Entire home/apt,2,1,0,1,Real Bed,99,2,,,,$125.00 ,1,$0.00 ,7,1125,339,10/2/15,0,0,0,0,,,,f,f,strict,f,f,1,
Cozy private second floor,44659281,Aaron,9/20/15,f,1,1,t,t,"Mt Rainier/Brentwood, MD",Mount Rainier,MD,20712,"Mount Rainier, MD",t,House,Private room,2,1,1,1,Real Bed,52,2,,,,,2,$15.00 ,1,1125,359,10/2/15,1,9/27/15,9/27/15,4,80,10,8,f,f,flexible,f,f,1,1
Cheap room near Fort Totten Metro,11798122,Michael,1/30/14,f,1,1,t,f,"Chillum, MD",Hyattsville,MD,20782,"Hyattsville, MD",t,Condominium,Private room,1,1,1,1,Real Bed,23,1,,,,$5.00 ,1,$10.00 ,1,1125,333,10/2/15,1,10/1/15,10/1/15,4,100,10,10,f,t,flexible,f,f,1,1
"Near Washington,DC",34290236,Ayesha,5/26/15,f,1,1,t,f,"Silver Spring, MD",Silver Spring,MD,20910,"Silver Spring, MD",t,Apartment,Shared room,2,1,1,2,Real Bed,200,3,,,100,,1,$0.00 ,1,1125,363,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Sweet basement suite apartment,4218349,Paul Joseph,11/22/12,f,1,1,t,t,,Mount Rainier,MD,20712,"Mount Rainier, MD",f,Apartment,Entire home/apt,4,1,2,2,Real Bed,40,1,,,,,1,$0.00 ,1,1125,0,10/2/15,0,0,0,0,,,,f,f,moderate,f,f,1,
Etta Mae Inn B&B - The Kiera room,45276150,Francoise,9/28/15,f,3,3,t,f,,Takoma Park,MD,20912,"Takoma Park, MD",f,Bed & Breakfast,Private room,2,1,1,1,Real Bed,135,2,,,,,1,$0.00 ,1,1125,365,10/3/15,0,0,0,0,,,,f,f,moderate,f,f,2,
All the comfort you need.,44546458,Afam,9/19/15,f,1,1,t,f,"Mt Rainier/Brentwood, MD",Mount Rainier,MD,20712,"Mount Rainier, MD",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,2,550,,,,1,$0.00 ,1,1125,365,10/2/15,0,0,0,0,,,,f,f,moderate,f,f,1,
Etta Mae Inn B&B - The Phoenix room,45276150,Francoise,9/28/15,f,3,3,t,f,,Takoma Park,MD,20912,"Takoma Park, MD",f,Bed & Breakfast,Private room,2,1,1,1,Real Bed,225,3,,,,,1,$0.00 ,1,1125,365,10/3/15,0,0,0,0,,,,f,f,moderate,f,f,2,
Sunny Cape Cod minutes from DC,2245859,Narae,4/28/12,f,1,1,t,f,"Takoma Park, MD",Takoma Park,MD,20912,"Takoma Park, MD",t,House,Entire home/apt,7,3,4,3,Real Bed,129,2,799,2700,99,$99.00 ,1,$0.00 ,14,1125,120,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
CHIC DC URBAN RETREAT,966914,Annie,8/14/11,t,1,1,t,t,Woodley Park,Washington,DC,20008,"Washington, DC",t,Apartment,Entire home/apt,1,1,1,1,Real Bed,149,2,999,2499,,,1,$99.00 ,3,31,18,10/3/15,46,3/11/12,10/1/15,4,100,10,10,f,f,strict,f,f,1,1.06
Perfect studio in VERY central DC,2070536,Joel,4/4/12,t,2,2,t,t,Logan Circle,Washington,DC,20005,"Washington, DC",t,Apartment,Entire home/apt,4,1,1,2,Real Bed,150,2,1100,3700,100,$30.00 ,2,$20.00 ,2,365,351,10/2/15,84,5/20/13,9/30/15,4,99,10,10,f,f,moderate,t,t,2,2.91
"Logan Circle Loft 1bedroom, 1.5bath",12725500,Mayrose,3/2/14,f,1,1,t,f,Logan Circle,Washington,DC,20005,"Washington, DC",t,Apartment,Entire home/apt,4,1.5,1,1,Real Bed,175,3,1000,3100,,$25.00 ,2,$25.00 ,1,1125,361,10/2/15,25,4/7/14,8/1/15,3,91,10,8,f,f,flexible,f,f,1,1.38
