name,host_id,host_name,host_since,host_since_years,Seasons,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,host_has_profile_pic,neighbourhood,city,state,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,price_range,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
Historic DC Condo-Walk to Capitol!,15830506,Lize & Greg,5/21/14,2014,0,1,26,26,0,1,17,Washington,DC,20003,14,0,8,1,4,1,1,2,Real Bed,160,3,1125,5225,100,115,1,$0.00 ,1,1125,283,10/2/15,0,0,0,0,0,0,1,1,0,0,18,0
Spacious Capitol Hill Townhouse,5338703,Sebastian,3/5/13,2013,4,1,1,1,1,1,17,Washington,DC,20003,14,0,8,1,6,3,3,3,Real Bed,350,4,0,0,0,100,1,$0.00 ,2,30,343,10/2/15,65,3/22/13,9/28/15,94,10,9,1,3,0,0,1,2.11
Spacious/private room for single,1487418,Craig,12/9/11,2011,4,1,2,2,0,1,23,Hyattsville,MD,20782,10,0,8,2,1,2,1,1,Real Bed,50,1,300,700,0,0,1,$0.00 ,2,1125,60,10/2/15,1,9/10/15,9/10/15,0,0,0,1,1,0,0,1,1
Downtown Silver Spring,30369828,Joshua,3/31/15,2015,0,1,1,1,0,1,86,Silver Spring,MD,20910,2,0,11,1,4,1,1,1,Real Bed,50,1,400,1500,450,15,2,$15.00 ,7,1125,351,10/3/15,0,0,0,0,0,0,1,1,0,0,1,0
"Cozy DC Condo, Close to Metro!",4628,Michelle,11/25/08,2008,0,1,1,1,0,1,91,Washington,DC,20012,14,0,6,1,4,2,2,2,Real Bed,100,2,550,0,150,50,2,$40.00 ,3,1125,21,10/2/15,0,0,0,0,0,0,1,1,0,0,1,0
Warm and Cozy 1 Bedroom Apt,3671500,Shahrzad,9/25/12,2012,0,1,1,1,1,1,69,Mount Rainier,MD,20712,12,0,1,1,2,1,1,1,Real Bed,100,2,0,0,0,0,1,$0.00 ,1,1125,365,10/2/15,0,0,0,0,0,0,1,1,0,0,1,0
Private room for rent,5159038,Qianwen,2/20/13,2013,4,1,8,8,1,1,16,Capitol Heights,MD,20743,5,0,8,2,2,1.5,1,1,Real Bed,38,1,250,800,0,0,1,$10.00 ,2,180,360,10/3/15,1,9/15/15,9/15/15,100,10,10,0,2,0,0,1,1
Great Penthouse View! Metro in 7min,21704152,Matt,9/23/14,2014,4,1,1,1,0,1,86,Silver Spring,MD,20910,1,0,1,1,1,1,1,1,Real Bed,55,2,299,999,100,0,1,$0.00 ,3,1125,0,10/2/15,1,9/28/15,9/28/15,100,10,6,1,3,0,0,1,1
Sunny & Conveniently Located!,44519208,Angeli,9/18/15,2015,0,1,1,1,1,1,86,Silver Spring,MD,20910,1,0,6,2,2,1,1,1,Real Bed,50,1,0,0,150,20,1,$10.00 ,2,14,365,10/3/15,0,0,0,0,0,0,1,1,0,0,1,0
Beautiful Private High-Rise Apt,3736766,Anne,10/2/12,2012,0,1,7,7,1,1,86,Silver Spring,MD,20910,1,0,1,1,2,1,0,1,Real Bed,99,2,0,0,0,125,1,$0.00 ,7,1125,339,10/2/15,0,0,0,0,0,0,1,3,0,0,1,0
